PartNumber,Description,Cost,Price,OEM,Hollander
DA21,AMC 1987-90 4.2L BL# 444 HD# 661,250,450,DA21,"7942C,7942D,7942F"
DA28,"CHRY 2.5L, RWD, EFI, W/O Fuel Pump, Vin H, P, E, W/ 2"" Crank Snout, W/ Flat Tappet Camshaft, App..., CHRY 2.5L (AMC) B: 200, 059, 532, 403 H:2403,117 1987-96..",200,350,L2597JEEP,7325 7225B 7425B
DA30,"CHRY 4.0L (AMC) B:405 H:119, 7120 1991 JEEP",75,200,L4091JAF,7340B 7340E
DA32,"CHRY 4.0L (AMC) BL# 569, 341 H: 630 CK:767, 411",100,200,L4096JAF,7440A 7440B
DA33,"CHRY 4.0L (AMC) B:327, 328AB H: 331",100,175,L4099JSF,7740A 7740C 7740D
DA34,"CHRY 4.0L (AMC) B: 449AA H: 331 CK: 41, CHRY 4.0L (AMC) B: 449AA H: 331 CK: 411",250,250,L4000JAF,7840
DA35,"CHRY 4.0L (AMC) B:514, 515 H:630 1999 CHER, WRANGLER",75,125,L4098JSF,7440A
DA36,"CHRY 2.5L, RWD, EFI, W/O Fuel Pump, Vin H, P, E, W/ 2"" Crank Snout, W/ Flat Tappet Camshaft, App..., CHRY 2.5L (AMC) B:200, 059, 532, Or 403. H: 403, 117",200,300,L2597JEEP,7225A 7425A
DA37,CHRY 4.0L (AMC) B:449AA H: 630 CK: 411,250,250,L4099JAF,7640
DB55,"BUICK 3.8L 1995-96 BL-24502287 HD-478, 4781",50,125,DB55,14738AW
DB57,"BUICK 3.8L FWD BL# 029 HD# 134,781,134 C/S# 2170",50,0,,14738A/B/C
DC04,"GM 5.0L/305 BL-776,777,778,979,909 HD- 450,434",75,150,DC04,"5050A, 5050B"
DC05,GM 305 CARB. BL# 201/203 HD# 416/601,25,100,,5044A 5044B 5050A 5050B
DC08,"GM 5.7l B: 010, 379, 014, 388 ,678 245 H: 993, 991 ,339, 487, 882 ,624",150,,72610,300-5057A-F
